series_instance_uid,sop_instance_uid,analysis_result_id,validator,message_class_id,message_template,severity_as_emitted,raw_example,iod_recognised_as,validator_returncode
1.2.276.0.7230010.3.1.3.481037312.288665.1761249018.481405,1.2.276.0.7230010.3.1.4.481037312.288665.1761249018.481406,nlstseg,dciodvfy,3cc801c58c5f,Warning - Value dubious for this VR - (TAG) PN Content Creator's Name PN [1] = <IDC> - Retired Person Name form,Warning,"Warning - Value dubious for this VR - (0x0070,0x0084) PN Content Creator's Name  PN [1] = <IDC> - Retired Person Name form",Segmentation,0
1.2.276.0.7230010.3.1.3.481037312.288665.1761249018.481405,1.2.276.0.7230010.3.1.4.481037312.288665.1761249018.481406,nlstseg,dicom-validator,6f01abd4f319,Module <Multi-frame Functional Groups> (TAG) (Shared Functional Groups Sequence) Tag (TAG) (Plane Orientation Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9229) (Shared Functional Groups Sequence) Tag (0020,9116) (Plane Orientation Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.481037312.288665.1761249018.481405,1.2.276.0.7230010.3.1.4.481037312.288665.1761249018.481406,nlstseg,dicom-validator,d81147d20e87,Module <Multi-frame Functional Groups> (TAG) (Shared Functional Groups Sequence) Tag (TAG) (Pixel Measures Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9229) (Shared Functional Groups Sequence) Tag (0028,9110) (Pixel Measures Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.481037312.288665.1761249018.481405,1.2.276.0.7230010.3.1.4.481037312.288665.1761249018.481406,nlstseg,dicom-validator,f782376ec325,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Derivation Image Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0008,9124) (Derivation Image Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.481037312.288665.1761249018.481405,1.2.276.0.7230010.3.1.4.481037312.288665.1761249018.481406,nlstseg,dicom-validator,d0eabe730084,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Frame Content Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0020,9111) (Frame Content Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.481037312.288665.1761249018.481405,1.2.276.0.7230010.3.1.4.481037312.288665.1761249018.481406,nlstseg,dicom-validator,380880930b44,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Plane Position Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0020,9113) (Plane Position Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.481037312.288665.1761249018.481405,1.2.276.0.7230010.3.1.4.481037312.288665.1761249018.481406,nlstseg,dicom-validator,972394b5bb82,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Segment Identification Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0062,000A) (Segment Identification Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.481037312.95825.1761242474.229351,1.2.276.0.7230010.3.1.4.481037312.95825.1761242474.229352,nlstseg,dciodvfy,4a71864409dc,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study Time,Warning,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study Time,Segmentation,0
1.2.276.0.7230010.3.1.3.481037312.95825.1761242474.229351,1.2.276.0.7230010.3.1.4.481037312.95825.1761242474.229352,nlstseg,dciodvfy,815f5dab3ba7,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study ID,Warning,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study ID,Segmentation,0
1.2.276.0.7230010.3.1.3.481037312.95825.1761242474.229351,1.2.276.0.7230010.3.1.4.481037312.95825.1761242474.229352,nlstseg,dciodvfy,3cc801c58c5f,Warning - Value dubious for this VR - (TAG) PN Content Creator's Name PN [1] = <IDC> - Retired Person Name form,Warning,"Warning - Value dubious for this VR - (0x0070,0x0084) PN Content Creator's Name  PN [1] = <IDC> - Retired Person Name form",Segmentation,0
1.2.276.0.7230010.3.1.3.481037312.95825.1761242474.229351,1.2.276.0.7230010.3.1.4.481037312.95825.1761242474.229352,nlstseg,dicom-validator,6f01abd4f319,Module <Multi-frame Functional Groups> (TAG) (Shared Functional Groups Sequence) Tag (TAG) (Plane Orientation Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9229) (Shared Functional Groups Sequence) Tag (0020,9116) (Plane Orientation Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.481037312.95825.1761242474.229351,1.2.276.0.7230010.3.1.4.481037312.95825.1761242474.229352,nlstseg,dicom-validator,d81147d20e87,Module <Multi-frame Functional Groups> (TAG) (Shared Functional Groups Sequence) Tag (TAG) (Pixel Measures Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9229) (Shared Functional Groups Sequence) Tag (0028,9110) (Pixel Measures Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.481037312.95825.1761242474.229351,1.2.276.0.7230010.3.1.4.481037312.95825.1761242474.229352,nlstseg,dicom-validator,f782376ec325,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Derivation Image Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0008,9124) (Derivation Image Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.481037312.95825.1761242474.229351,1.2.276.0.7230010.3.1.4.481037312.95825.1761242474.229352,nlstseg,dicom-validator,d0eabe730084,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Frame Content Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0020,9111) (Frame Content Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.481037312.95825.1761242474.229351,1.2.276.0.7230010.3.1.4.481037312.95825.1761242474.229352,nlstseg,dicom-validator,380880930b44,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Plane Position Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0020,9113) (Plane Position Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.481037312.95825.1761242474.229351,1.2.276.0.7230010.3.1.4.481037312.95825.1761242474.229352,nlstseg,dicom-validator,972394b5bb82,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Segment Identification Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0062,000A) (Segment Identification Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.0.42821.1698536652.954210,1.2.276.0.7230010.3.1.4.0.42821.1698536652.954211,prostate_mri_us_biopsy_dicom_annotations,dciodvfy,815f5dab3ba7,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study ID,Warning,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study ID,Segmentation,0
1.2.276.0.7230010.3.1.3.0.42821.1698536652.954210,1.2.276.0.7230010.3.1.4.0.42821.1698536652.954211,prostate_mri_us_biopsy_dicom_annotations,dciodvfy,c3858e46e8c5,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Prostate-MRI-US-Biopsy-1149> - Retired Person Name form,Warning,"Warning - Value dubious for this VR - (0x0010,0x0010) PN Patient's Name  PN [1] = <Prostate-MRI-US-Biopsy-1149> - Retired Person Name form",Segmentation,0
1.2.276.0.7230010.3.1.3.0.42821.1698536652.954210,1.2.276.0.7230010.3.1.4.0.42821.1698536652.954211,prostate_mri_us_biopsy_dicom_annotations,dciodvfy,4f1c684b72ff,Warning - Value dubious for this VR - (TAG) PN Content Creator's Name PN [1] = <Imaging Data Commons> - Retired Person Name form,Warning,"Warning - Value dubious for this VR - (0x0070,0x0084) PN Content Creator's Name  PN [1] = <Imaging Data Commons> - Retired Person Name form",Segmentation,0
1.2.276.0.7230010.3.1.3.0.42821.1698536652.954210,1.2.276.0.7230010.3.1.4.0.42821.1698536652.954211,prostate_mri_us_biopsy_dicom_annotations,dciodvfy,9ee22e1c2108,Warning - Unrecognized defined term <GEIIS> for value 1 of attribute <Coding Scheme Designator>,Warning,Warning - Unrecognized defined term <GEIIS> for value 1 of attribute <Coding Scheme Designator>,Segmentation,0
1.2.276.0.7230010.3.1.3.0.42821.1698536652.954210,1.2.276.0.7230010.3.1.4.0.42821.1698536652.954211,prostate_mri_us_biopsy_dicom_annotations,dicom-validator,6f01abd4f319,Module <Multi-frame Functional Groups> (TAG) (Shared Functional Groups Sequence) Tag (TAG) (Plane Orientation Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9229) (Shared Functional Groups Sequence) Tag (0020,9116) (Plane Orientation Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.0.42821.1698536652.954210,1.2.276.0.7230010.3.1.4.0.42821.1698536652.954211,prostate_mri_us_biopsy_dicom_annotations,dicom-validator,d81147d20e87,Module <Multi-frame Functional Groups> (TAG) (Shared Functional Groups Sequence) Tag (TAG) (Pixel Measures Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9229) (Shared Functional Groups Sequence) Tag (0028,9110) (Pixel Measures Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.0.42821.1698536652.954210,1.2.276.0.7230010.3.1.4.0.42821.1698536652.954211,prostate_mri_us_biopsy_dicom_annotations,dicom-validator,f782376ec325,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Derivation Image Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0008,9124) (Derivation Image Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.0.42821.1698536652.954210,1.2.276.0.7230010.3.1.4.0.42821.1698536652.954211,prostate_mri_us_biopsy_dicom_annotations,dicom-validator,d0eabe730084,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Frame Content Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0020,9111) (Frame Content Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.0.42821.1698536652.954210,1.2.276.0.7230010.3.1.4.0.42821.1698536652.954211,prostate_mri_us_biopsy_dicom_annotations,dicom-validator,380880930b44,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Plane Position Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0020,9113) (Plane Position Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.0.42821.1698536652.954210,1.2.276.0.7230010.3.1.4.0.42821.1698536652.954211,prostate_mri_us_biopsy_dicom_annotations,dicom-validator,972394b5bb82,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Segment Identification Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0062,000A) (Segment Identification Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.0.40912.1698535124.897393,1.2.276.0.7230010.3.1.4.0.40912.1698535124.897394,prostate_mri_us_biopsy_dicom_annotations,dciodvfy,815f5dab3ba7,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study ID,Warning,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study ID,Segmentation,0
1.2.276.0.7230010.3.1.3.0.40912.1698535124.897393,1.2.276.0.7230010.3.1.4.0.40912.1698535124.897394,prostate_mri_us_biopsy_dicom_annotations,dciodvfy,c3858e46e8c5,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Prostate-MRI-US-Biopsy-1149> - Retired Person Name form,Warning,"Warning - Value dubious for this VR - (0x0010,0x0010) PN Patient's Name  PN [1] = <Prostate-MRI-US-Biopsy-1149> - Retired Person Name form",Segmentation,0
1.2.276.0.7230010.3.1.3.0.40912.1698535124.897393,1.2.276.0.7230010.3.1.4.0.40912.1698535124.897394,prostate_mri_us_biopsy_dicom_annotations,dciodvfy,4f1c684b72ff,Warning - Value dubious for this VR - (TAG) PN Content Creator's Name PN [1] = <Imaging Data Commons> - Retired Person Name form,Warning,"Warning - Value dubious for this VR - (0x0070,0x0084) PN Content Creator's Name  PN [1] = <Imaging Data Commons> - Retired Person Name form",Segmentation,0
1.2.276.0.7230010.3.1.3.0.40912.1698535124.897393,1.2.276.0.7230010.3.1.4.0.40912.1698535124.897394,prostate_mri_us_biopsy_dicom_annotations,dciodvfy,9ee22e1c2108,Warning - Unrecognized defined term <GEIIS> for value 1 of attribute <Coding Scheme Designator>,Warning,Warning - Unrecognized defined term <GEIIS> for value 1 of attribute <Coding Scheme Designator>,Segmentation,0
1.2.276.0.7230010.3.1.3.0.40912.1698535124.897393,1.2.276.0.7230010.3.1.4.0.40912.1698535124.897394,prostate_mri_us_biopsy_dicom_annotations,dicom-validator,6f01abd4f319,Module <Multi-frame Functional Groups> (TAG) (Shared Functional Groups Sequence) Tag (TAG) (Plane Orientation Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9229) (Shared Functional Groups Sequence) Tag (0020,9116) (Plane Orientation Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.0.40912.1698535124.897393,1.2.276.0.7230010.3.1.4.0.40912.1698535124.897394,prostate_mri_us_biopsy_dicom_annotations,dicom-validator,d81147d20e87,Module <Multi-frame Functional Groups> (TAG) (Shared Functional Groups Sequence) Tag (TAG) (Pixel Measures Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9229) (Shared Functional Groups Sequence) Tag (0028,9110) (Pixel Measures Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.0.40912.1698535124.897393,1.2.276.0.7230010.3.1.4.0.40912.1698535124.897394,prostate_mri_us_biopsy_dicom_annotations,dicom-validator,f782376ec325,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Derivation Image Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0008,9124) (Derivation Image Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.0.40912.1698535124.897393,1.2.276.0.7230010.3.1.4.0.40912.1698535124.897394,prostate_mri_us_biopsy_dicom_annotations,dicom-validator,d0eabe730084,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Frame Content Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0020,9111) (Frame Content Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.0.40912.1698535124.897393,1.2.276.0.7230010.3.1.4.0.40912.1698535124.897394,prostate_mri_us_biopsy_dicom_annotations,dicom-validator,380880930b44,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Plane Position Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0020,9113) (Plane Position Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.0.40912.1698535124.897393,1.2.276.0.7230010.3.1.4.0.40912.1698535124.897394,prostate_mri_us_biopsy_dicom_annotations,dicom-validator,972394b5bb82,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Segment Identification Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0062,000A) (Segment Identification Sequence) is unexpected",Segmentation IOD,6
